noc_link,noc,job_group,description,alt_titles
/Structure/NocProfile/1b4ca4230a4b4bfab443e71f89863d6c?objectid=NmDF%2Bp5XjPpmMEzWh5irOIJPO4DWI3AoLXAGtO9E%2F%2Fr2xVJHKlh2Vvm4wy6CUIjy,NOC 11,Legislators,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members.","['Aboriginal band chief', 'Aboriginal band council member', 'Alderman/woman', 'Attorney general', 'Cabinet minister', 'City alderman', 'City councillor', 'City councilman/woman', 'Councillor', 'First Nations band chief', 'First Nations band council member', 'First Nations government leader', 'Government leader', 'Governor general', 'Leader of the opposition', 'Legislative body speaker', 'Legislator', 'Lieutenant-governor', 'Mayor', 'Member of Legislative Assembly (MLA)', 'Member of Parliament (MP)', 'Member of the House of Assembly (MHA)', 'Member of the National Assembly (MNA)', 'Member of the Provincial Parliament (MPP)', 'Metropolitan council chair', 'Municipal council chairman/woman', 'Opposition leader', 'Orator - government', 'Premier', 'Prime minister', 'Reeve', 'Regional municipality chair', 'School board trustee', 'Senator', 'Solicitor general', 'Treasury Board president']"
/Structure/NocProfile/76c299bff0fa482c86d316e4ee313ecc?objectid=Bt6OLTamtNrxaIIrf4sMuoBImUEjmTc9lglat2MCwX9etBTQipFkDt9USHv0yeAf,NOC 12,Senior government managers and officials,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies.","['Ambassador', 'Assistant chief statistician - government services', 'Assistant comptroller general - government services', 'Assistant deputy minister', 'Assistant deputy minister - government services', 'Assistant executive director - government services', 'Assistant general director - government services', 'Assistant undersecretary of state', 'Band manager - First Nations', 'Chairman/woman - government services', 'Chairperson - government services', 'Chief - disaster management', 'Chief administrative officer - government services', 'Chief administrative officer - regional municipality', 'Chief electoral officer', 'Chief privacy officer - government services', 'Chief statistician - government services', 'City administrator', 'City hall clerk', 'City manager', 'City superintendent', 'Clerk of the House of Commons', 'Clerk of the Privy Council', 'Commissioner - government services', 'Commissioner of inquiries', 'Commissioner of inquiries - government services', 'Comptroller general - government services', 'Comptroller general of Canada', 'Consul', 'Council secretary - government services', 'County clerk', 'Deputy commissioner - government services', 'Deputy minister', 'Deputy minister - government services', 'Deputy municipal clerk', 'Deputy provincial secretary - government services', 'Director general - government services', 'Employment insurance appeals board chairperson', 'Employment insurance commissioner', 'Executive administrator - government agency', 'Executive administrator - government department', 'Executive director - emergency preparedness', 'Executive director - government services', 'Fire marshal', 'First Nations band manager', 'General manager - government services', 'General secretary - government services', 'Government agency commissioner', 'Government agency president', 'Government agency senior administrator', 'Grain commissioner', 'Health commissioner', 'High commissioner', 'Highway commissioner', 'Human Rights Commission chairperson', 'Inspector general of financial institutions', 'Liquor commissioner', 'Local government manager', 'Manager - First Nations', 'Municipal administrator', 'Ombudsperson - government services', 'Parole board chairman/woman', 'President - government services', 'Railroad commissioner', 'Receiver general for Canada', 'Regional municipality general director', 'Secretary to the council - government services', 'Sergeant-at-arms of the House of Commons', 'Superintendent of financial institutions', 'Territorial commissioner', 'Town clerk', 'Township clerk', 'Trade commissioner', 'Undersecretary of state', 'Vice-consul', 'Vice-president - government services']"
/Structure/NocProfile/c15754aff5ad4686a4e59cd5fa279a07?objectid=rigCXuxDihesCD4q2PU9VhrY3IBfM9sCxEm4gdFQ07gu5xzlNJ0MBzYTdga72DtW,NOC 13,"Senior managers - financial, communications and other business services","Senior managers in financial, communications and other business services are usually appointed by a board of directors, to which they report. They work either alone or in conjunction with the board of directors to develop and establish objectives for the company, and to develop or approve policies and programs. They plan, organize, direct, control and evaluate, through middle managers, the operations of their organization in relation to established objectives. They work in establishments throughout the telecommunications, finance, insurance, real estate, and data processing, hosting and related services industries as well as other business service industries or they may own and operate their own business.","['Advertising agency president', 'Assistant executive director - financial, communications and other business services', 'Bank credit vice-president', 'Bank president', 'Chairman/woman - financial, communications and other business services', 'Chairperson - financial, communications and other business services', 'Chief executive officer (CEO) - financial, communications and other business services', 'Chief executive officer (CEO) - telephone company', 'Chief financial officer (CFO) - advertising agency', 'Chief financial officer (CFO) - financial, communications and other business services', 'Chief operating officer - engineering firm', 'Chief operating officer - financial, communications and other business services', 'Chief privacy officer - financial, communications and other business services', 'Computing services company president', 'Controller - financial, communications and other business services', 'Corporate banking vice-president', 'Corporate controller - financial, communications and other business services', 'Corporate controller - mortgage brokerage firm', 'Credit union executive director', 'Credit union general manager', 'Deputy chief executive officer - financial, communications and other business services', 'Deputy chief executive officer - life insurance company', 'Domestic banking operations vice-president', 'Employment agency general manager', 'Engineering firm president', 'Engineering research general manager', 'Engineering vice-president - financial, communications and other business services', 'Executive director - financial, communications and other business services', 'Executive vice-president - financial, communications and other business services', 'Executive vice-president - real estate agency', 'Finance and administration vice-president - financial, communications and other business services', 'Finance vice-president - financial, communications and other business services', 'Finance vice-president - holding company', 'General manager - financial, communications and other business services', 'General manager - real estate management company', 'Human resources and organizational development vice-president - financial, communications and other business services', 'Human resources vice-president - bank', 'Human resources vice-president - financial, communications and other business services', 'Information systems vice-president - financial, communications and other business services', 'Insurance company general manager', 'International banking operations vice-president', 'Marketing vice-president - clerical staff services', 'Marketing vice-president - financial, communications and other business services', 'Operations vice-president - financial, communications and other business services', 'Operations vice-president - satellite communication services', 'Personal banking vice-president', 'Personnel vice-president - bank', 'Personnel vice-president - financial, communications and other business services', 'Planning vice-president - financial, communications and other business services', 'President - financial, communications and other business services', 'President and chief executive officer - financial, communications and other business services', 'Protective services executive director', 'Real estate management company executive director', 'Regional vice-president - financial, communications and other business services', 'Senior vice-president and chief economist', 'Support services vice-president - financial, communications and other business services', 'Telecommunications general manager', 'Treasury vice-president - banking institution', 'Trust company general manager', 'Trust company regional vice-president', 'Vice-president - financial, communications and other business services']"
/Structure/NocProfile/bb4fda93a0794c9ba67017cc2da1aaf1?objectid=OUj%2B8uMIg5uH9T0gBRJZv%2FFC79BseISWS2BtQZqPVGgfcAjyXPZamisOBeIKsWwp,NOC 14,"Senior managers - health, education, social and community services and membership organizations","Senior managers in health, education, social and community services and membership organizations plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors. They are employed in health care organizations, educational services, social and community services and membership organizations or they may own and operate their own business.","['Academic association president', 'Academic business vice-president', 'Alumni association executive director', 'Arts and culture association chairperson', 'Arts association executive director', 'Assistant executive director - health, education, social and community services and membership organizations', 'Association executive director', 'Automobile association executive director', 'Business association general manager', 'Business association president', 'Business general manager', 'Business school general manager', 'Chairman/woman - health, education, social and community services and membership organizations', 'Chairperson - health, education, social and community services and membership organizations', 'Chancellor - education', 'Charitable organization director', 'Charitable organization executive director', 'Chief executive officer (CEO) - health, education, social and community services and membership organizations', 'Chief financial officer (CFO) - health, education, social and community services and membership organizations', 'Chief operating officer - health, education, social and community services and membership organizations', 'Chief privacy officer - health, education, social and community services and membership organizations', 'College chancellor', 'College president', 'Community college president', 'Corporate controller - health, education, social and community services and membership organizations', 'Crafts guild executive director', 'Cultural association president', 'Deputy chief executive officer - health, education, social and community services and membership organizations', 'Director general - health, education, social and community services and membership organizations', 'Educational institution chief financial officer (CFO)', 'Educators association chairperson', 'Environmental group executive director', 'Ethnic association president', 'Executive director - health, education, social and community services and membership organizations', ""Executive director - teacher's federation"", 'Executive general manager - health, education, social and community services and membership organizations', 'Executive vice-president - health, education, social and community services and membership organizations', 'Finance and administration vice-president - health, education, social and community services and membership organizations', 'Finance vice-president - health, education, social and community services and membership organizations', 'General manager - health, education, social and community services and membership organizations', 'Health care association president', 'Health services institution executive director', 'Hockey association general manager', 'Hospital administrator', 'Hospital executive director', 'Human resources and organizational development vice-president - health, education, social and community services and membership organizations', 'Human resources vice-president - health, education, social and community services and membership organizations', 'Information systems vice-president - health, education, social and community services and membership organizations', 'Labour organization president', 'Lobby chief executive officer - health, education, social and community services and membership organizations', 'Marketing vice-president - health, education, social and community services and membership organizations', 'Medical vice-president - health services', 'Membership organization general manager', 'Music guild president', 'Non-governmental organization (NGO) executive director', ""Nurse's association executive director"", 'Nursing vice-president - health, education, social and community services and membership organizations', 'Operations vice-president - health, education, social and community services and membership organizations', 'Personnel vice-president - health, education, social and community services and membership organizations', 'Planning vice-president - health, education, social and community services and membership organizations', 'Political organization general manager', 'Political party president', 'President - health, education, social and community services and membership organizations', 'President and general manager - health, education, social and community services and membership organizations', 'Professional association executive director', 'Recreational association executive director', 'Rector - education', 'Regional vice-president - health, education, social and community services and membership organizations', 'Scientific association chairperson', 'Social services institution corporate controller', 'Sports association president', 'Support services vice-president - health, education, social and community services and membership organizations', 'Trade school general manager', 'Union association president', 'University president', 'Vice-president - health, education, social and community services and membership organizations', 'Voluntary organization executive director', ""Young men's christian association (YMCA) executive director""]"
/Structure/NocProfile/89c3d4f60e6f4762bb752885dcca3e33?objectid=6YSHVnwjbeBwywTCvbZjxC1okFwIyFsqEGGa2HkjjA6jE0g88SjpsRqznoFEqHiE,NOC 15,"Senior managers - trade, broadcasting and other services, n.e.c.","Senior managers in trade, broadcasting and other customer services plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service industry companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors. They work in establishments in broadcasting and related media services, wholesale trade, retail trade, accommodation and food service, and other services not elsewhere classified or they may own and operate their own business.","['Broadcasting corporation president', 'Casino general manager', 'Chairman/woman - trade, broadcasting and other services', 'Chairperson - trade, broadcasting and other services', 'Chief executive officer (CEO) - trade, broadcasting and other services', 'Chief financial officer (CFO) - trade, broadcasting and other services', 'Chief operating officer - trade, broadcasting and other services', 'Chief privacy officer - trade, broadcasting and other services, n.e.c.', 'Cleaning service general manager', 'Corporate controller - trade, broadcasting and other services', 'Department store president', 'Deputy chief executive officer (CEO) - trade, broadcasting and other services', 'Engineering vice-president - television broadcasting services', 'Engineering vice-president - trade, broadcasting and other services', 'Executive director - trade, broadcasting and other services', 'Executive vice-president - metal and metal products wholesaler', 'Executive vice-president - trade, broadcasting and other services', 'Finance and administration vice-president - trade, broadcasting and other services', 'Finance vice-president - food wholesaling', 'Finance vice-president - trade, broadcasting and other services', 'Funeral services general manager', 'Hotel chain regional vice-president', 'Hotel general manager', 'Human resources and organizational development vice-president - trade, broadcasting and other services', 'Human resources vice-president - trade, broadcasting and other services', 'Information systems vice president - trade, broadcasting and other services', 'Laundry and dry cleaning general manager', 'Marketing vice-president - grocery store chain', 'Marketing vice-president - trade, broadcasting and other services', 'Operations manager - trade, broadcasting and other services', 'Operations vice-president - radio broadcasting services', 'Operations vice-president - trade, broadcasting and other services', 'Personnel vice-president - trade, broadcasting and other services', 'Planning vice-president - trade, broadcasting and other services', 'President - trade, broadcasting and other services', 'President and director - trade, broadcasting and other services', 'President and general manager - trade, broadcasting and other services', 'Professional sports club chief financial officer (CFO)', 'Radio station general manager', 'Regional vice-president - trade, broadcasting and other services', 'Restaurant chain corporate controller', 'Retail establishment president', 'Sales and advertising vice-president - trade, broadcasting and other services', 'Sales general manager - trade, broadcasting and other services', 'Sales vice-president - trade, broadcasting and other services', 'Support services vice-president - trade, broadcasting and other services', 'Travel agency chief executive officer (CEO)', 'Vice-president - trade, broadcasting and other services', 'Vice-president and general sales manager - trade, broadcasting and other services', 'Wholesaler - broadcasting']"
/Structure/NocProfile/7ee58c6b2e04417896a95a1b5b72ee8e?objectid=7He6kTzWGou8d7I%2FzJ8CNg04AElY1xg3HLbh47Kqsr6jtSvsLv%2By9658EIAXqYrc,NOC 16,"Senior managers - construction, transportation, production and utilities","Senior managers in construction, transportation, production and utilities plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors. They work in establishments throughout the following industries: fishing, forestry, logging and agriculture; mining, oil and gas extraction; construction; transportation and warehousing; printing; manufacturing; and utilities or they may own and operate their own business.","['Assistant executive director - goods production, utilities, transportation and construction', 'Building construction general manager', 'Chief executive officer (CEO) - goods production, utilities, transportation and construction', 'Chief executive officer (CEO) - manufacturing company', 'Chief financial officer (CFO) - goods production, utilities, transportation and construction', 'Chief financial officer (CFO) - urban transit system', 'Chief operating officer - goods production, utilities, transportation and construction', 'Chief privacy officer - construction, transportation, production and utilities', 'Construction general manager', 'Corporate controller - goods production, utilities, transportation and construction', 'Deputy chief executive officer - goods production, utilities, transportation and construction', 'Electric power company president', 'Engineering vice-president - goods production, utilities, transportation and construction', 'Executive director - goods production, utilities, transportation and construction', 'Executive vice-president - goods production, utilities, transportation and construction', 'Executive vice-president - railway', 'Feed and flour mills general manager', 'Finance and administration vice-president - goods production, utilities, transportation and construction', 'Finance vice-president - goods production, utilities, transportation and construction', 'Finance vice-president - mining company', 'Gas distribution general manager', 'General manager - goods production, utilities, transportation and construction', 'Highway construction general manager', 'Human resources and organizational development vice-president - goods production, utilities, transportation and construction', 'Human resources vice-president - goods production, utilities, transportation and construction', 'Hydro-electric power station president', 'Information systems vice-president - goods production, utilities, transportation and construction', 'Logging company corporate controller', 'Manufacturing company chief executive officer', 'Marketing vice-president - airline', 'Marketing vice-president - goods production, utilities, transportation and construction', 'Operations vice-president - electric power company', 'Operations vice-president - goods production, utilities, transportation and construction', 'Personnel vice-president - goods production, utilities, transportation and construction', 'Petroleum production company regional vice-president', 'Planning vice-president - goods production, utilities, transportation and construction', 'President - goods production, utilities, transportation and construction', 'Production general manager - goods production, utilities, transportation and construction', 'Publisher', 'Publishing house general manager', 'Regional vice-president - goods production, utilities, transportation and construction', 'Residential construction company president', 'Sales vice-president - goods production, utilities, transportation and construction', 'Sales vice-president - pulp and paper manufacturing', 'Support services vice-president - goods production, utilities, transportation and construction', 'Transit system general manager', 'Transport and communications general manager', 'Trucking company general manager', 'Vice-president - goods production, utilities, transportation and construction']"
/Structure/NocProfile/89d3853352684df3b4d630b5840a93cf?objectid=OVCAXwa6lUphhSKzZO4U%2B%2Fm9zTk8pHDMklaCE2AoHSgeaVx7wAJoyAO75zreyBmh,NOC 111,Financial managers,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the private sector and in government.","['Accounting and financial control chief', 'Accounting and financial control director', 'Accounting department manager', 'Accounting director', 'Accounting manager', 'Accounting manager - financial services department', 'Accounting office manager', 'Assigned public accountants chief', 'Assistant accounting manager', 'Assistant treasurer - finances', 'Audit and compliance director', 'Auditing department manager', 'Budget and sectoral profitability director', 'Collections department manager', 'Comptroller', 'Controller - financial services', 'Corporate budgeting and analysis manager', 'Corporate controller', 'Corporate financing manager', 'Corporate risk department manager', 'Director - financial services', 'Director of accounting', 'Director-treasurer - financial services', 'Finance and control manager', 'Finance chief', 'Finance director', 'Finance manager', 'Financial administrator', 'Financial audit manager', 'Financial control manager', 'Financial controller', 'Financial director', 'Financial evaluations director', 'Financial manager', 'Financial planning and advisory service manager', 'Financial planning and analysis manager', 'Financial planning and reporting director', 'Financial planning and reporting manager', 'Financial resources service co-ordinator', 'Financing and administration director', 'Group accounting manager', 'Independent public accountants chief', 'Internal audit manager', 'Internal audit services manager', 'Investments research director', 'Manager of accounting department', 'Manager of auditing department', 'Pension plans administrator', 'Pension services manager', 'Regional controller - financial services', 'Revenue accounting and controls section chief', 'Treasurer', 'Treasurer and controller - finances']"
/Structure/NocProfile/b46b1d92fa9c42e5873ae573714ff2c8?objectid=JMiDyl9H42W7%2FvVQhmVOFIH0T5oO5DQIFVkn91ZSWxyaEz5bgHzGqfKaKh01UKfP,NOC 112,Human resources managers,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. They are employed throughout the private and public sectors.","['Benefits manager', 'Chief safety officer - occupational health and safety', 'Classification and compensation chief', 'Compensation manager', 'Disability management program manager', 'Employee benefits director', 'Employee benefits manager', 'Employer-employee relations manager', 'Employment equity chief', 'Employment equity director - human resources', 'Employment equity manager - human resources', 'Employment manager', 'Health and safety co-ordinator', 'Human resources administrator', 'Human resources development and planning director', 'Human resources development director', 'Human resources director', 'Human resources management director', 'Human resources manager', 'Human resources planning manager', 'Industrial relations manager', 'Job evaluation and salary research manager', 'Labour relations director', 'Labour relations manager', 'Language training director', 'Occupational health and safety director', 'Occupational health and safety manager', 'Occupational training director - human resources', 'Official languages chief', 'Official languages manager', 'Pay and benefits director', 'Pay and benefits manager', 'Pay services director - human resources', 'Pay-processing division director - government services', 'Pensions and benefits manager', 'Personnel administration manager', 'Personnel and industrial relations director', 'Personnel chief', 'Personnel director', 'Personnel manager', 'Personnel services director', 'Personnel services manager', 'Personnel training and development manager', 'Recruiting director', 'Recruiting manager', 'Salary research and administration manager', 'Staff relations chief', 'Staff relations manager', 'Staff training and development chief', 'Staff training and development manager', 'Staff training co-ordinator', 'Staffing chief', 'Training and development manager', 'Training chief', 'Vocational training director - human resources', 'Wage and salary administration manager']"
/Structure/NocProfile/daf515b41e7b4c7b98c85126013f6279?objectid=KAjl2ESrVTix%2B6F1YoXRlk1RqH3o5D9enLB%2B8zj2bSPvPp01QKR6cX3KFEYaf%2Fnv,NOC 113,Purchasing managers,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution. They are employed throughout the public and private sectors.","['Building supplies purchasing manager', 'Clothing purchasing director', 'Clothing purchasing manager', 'Contract director', 'Contract manager', 'Electronic components purchasing chief', 'Electronic components purchasing director', 'Electronic components purchasing manager', 'Equipment manager', 'Food purchasing director', 'Food purchasing manager', 'Hardware purchasing director', 'Hardware purchasing manager', 'Material and services purchasing manager', 'Material manager', 'Merchandise purchasing director', 'Merchandise purchasing manager', 'Office equipment purchasing manager', 'Procurement director', 'Procurement manager', 'Procurement operations director', 'Purchasing chief', 'Purchasing contracts director', 'Purchasing contracts manager', 'Purchasing director', 'Purchasing manager', 'Supply chain director', 'Supply chain logistics manager', 'Supply chain manager', 'Supply chief', 'Supply service chief', 'Supply-management director']"
/Structure/NocProfile/9d6414be023149c494c90556d1180835?objectid=IEW6aSUFqBYy2KBay0IkOkSoEofg6bMyUeXPVcqfBd9xAlHT022c3yJuwB3hqxNh,NOC 114,Other administrative services managers,"Other administrative services managers plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services. They are employed throughout the public and private sector.","['Account records manager', 'Accounting records manager', 'Administration and property management services director', 'Administrative manager', 'Administrative records department manager', 'Administrative records manager', 'Administrative services chief', 'Administrative services director', 'Administrative services manager', 'Administrative support services manager', 'Admissions director - health care', 'Branch manager - administration', 'Buildings, vehicles and supplies manager', 'Business manager - non-profit organization', 'Chartered administrator - management', 'Chartered secretary - management', 'Division administrative manager', 'Finance and administration director', 'Financial and administrative services chief', 'Health records administrator', 'Hospital admissions director', 'Inventory control manager', 'Inventory manager', 'Legal department chief', 'Legal department director', 'Management services division chief', 'Managing director', 'Material control manager', 'Medical records department manager', 'Medical records manager', 'Office manager - non-profit organization', 'Operational planning director', 'Operations chief', 'Operations director - administrative services', 'Operations manager - administrative services', 'Organization rules analysis manager', 'Organizational rules analysis manager', 'Patient-registration manager', 'Planning and organizational development manager', 'Records administrator', 'Records management services manager', 'Records manager', 'Regional administrative manager', 'Security department manager', 'Security manager', 'Support services administrative manager', 'Support services manager', 'Surveillance department manager - casino']"
/Structure/NocProfile/0344b29d30f44f35ad65badcb5992029?objectid=td%2BYSWJj70ACCqwcUQhJwcwnmdnRRm6Jwa5tO0Kam%2BF7AD6GzcOgZInZyVeogzRI,NOC 121,"Insurance, real estate and financial brokerage managers","Insurance, real estate and financial brokerage managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide insurance, mortgage, real estate and investment services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives. They are employed by insurance companies, real estate firms, stockbrokers, investment dealers, mortgage brokers and security and commodity exchanges.","['Bond sales manager', 'Branch manager - insurance', 'Brokerage manager - investments', 'Business development manager - damage insurance', 'Commission brokers manager - investments', 'Commodities trading manager', 'Financial brokerage manager', 'Futures research manager', 'Futures research services manager', 'Grain trading manager', 'Insurance benefits executive director', 'Insurance claims service manager', 'Insurance manager', 'Insurance managing director', 'Insurance regional manager', 'Insurance sales district manager', 'Insurance sales manager', 'Investment director - financial brokerage', 'Investment manager - financial brokerage', 'Leasing manager - real estate', 'Liability trading manager', 'Mortgage broker manager', 'Mutual funds manager - financial brokerage', 'Petroleum research manager - securities', 'Real estate agents managing supervisor', 'Real estate branch manager', 'Real estate broker', 'Real estate developer', 'Real estate national sales manager', 'Real estate office manager', 'Real estate sales district manager', 'Real estate sales manager', 'Real estate sales managing director', 'Real estate service manager', 'Securities and investment manager', 'Securities manager', 'Securities research director', 'Securities research manager', 'Securities sales director', 'Trading floor manager', 'Underwriting department manager']"
/Structure/NocProfile/79c3c9e23df7445bba9cc984518c163c?objectid=CW052Os%2FuWF0F9vD6CIrIpDjUSgQMtvHeoV1LKnWOFvhpFCgNPmKqfP26b7kTTLk,NOC 122,"Banking, credit and other investment managers","Banking, credit and other investment managers plan, organize, direct, control and evaluate the activities of financial establishments or operational departments within such establishments, or credit departments in industrial and commercial establishments. They oversee business development and manage overall performance in accordance with established strategic directions and policies. Banking managers are employed by banks, trust companies and credit unions. Credit managers are employed by credit departments in department stores, utility companies, car dealerships, insurance companies or other industrial or commercial organizations. Other investment managers are employed by credit card companies, consumer loan companies, mutual fund investment firms, mortgage investment companies or other financial establishments concerned with extending loans and financing and investments.","['Accounts manager - banking, credit and investment', 'Area manager - banking, credit and investment', 'Assistant branch manager - banking, credit and investment', 'Assistant consumer credit manager', 'Assistant corporate banking services manager', 'Assistant credit manager', 'Assistant operations manager - banking, credit and investment', 'Assistant regional manager - banking', 'Bank branch manager', 'Bank director', 'Bank manager', 'Banking accounts manager', 'Banking operations manager', 'Branch administrative manager - banking, credit and investment', 'Branch manager - banking, credit and investment', 'Collection centre manager', 'Collection manager', 'Collection manager - bank or trust company', 'Commercial attaché', 'Commercial banking manager', 'Commercial mortgages accounts manager', 'Commercial mortgages manager', 'Consumer credit management trainee', 'Consumer credit services manager trainee', 'Corporate accounts manager - banking, credit and investment', 'Corporate banking centre manager', 'Corporate services manager - banking, credit and investment', 'Corporate trust services manager', 'Credit and accounts manager', 'Credit and collection department manager', 'Credit and collection manager', 'Credit approval and market development manager', 'Credit area co-ordinator', 'Credit card centre manager', 'Credit card company operations manager', 'Credit manager', 'Credit union manager', 'Financial services manager', 'International banking manager', 'Investment manager - bank or trust company', 'Investment manager - banking, credit and investment', 'Loan and credit manager - banking or trust company', 'Loans manager', 'Loans manager trainee', 'Mortgage and consumer credit manager', 'Mortgage manager', 'Operations manager - banking, credit and investment', 'Personal services manager - banking, credit and investment', 'Personal trust manager', 'Regional bank manager', 'Regional collection manager', 'Regional credit manager', 'Senior accounts manager - banking, credit and investment', 'Senior manager - personal financial services', 'Trust company branch manager', 'Trust company investment manager', 'Trust company manager']"
/Structure/NocProfile/a1d60bcc62d9469186c2dc00755cbbc4?objectid=Scp0bIrVq9aFwFkvMYDs4cXqNpI3d1TVS45ngC0Q2UChAxRHWE7Ol2guhUkW9M0Q,NOC 124,"Advertising, marketing and public relations managers","Advertising, marketing, public relations and e-business managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business advertising, marketing and public relations. They are employed by commercial and industrial establishments, government departments, and advertising, marketing and public relations firms or consulting businesses.","['Advertising administrator', 'Advertising agency manager', 'Advertising director', 'Advertising manager', 'Agency marketing department manager', 'Business manager - sales and advertising', 'Campaign manager', 'Channel marketing manager', 'Circulation manager', 'Commercial network development manager', 'Communications director', 'Communications director - sales and marketing', 'Communications manager', 'Communications manager - public relations', 'Corporate affairs manager', 'Correspondence and public inquiries manager', 'E-business manager', 'Election campaign manager', 'Electronic business (e-business) manager', 'Electronic commerce (e-commerce) manager', 'External relations director', 'Fundraising campaign manager', 'Graphic design firm manager', 'Information and communications manager', 'Information service manager', 'Internet communications manager', 'Internet site manager', 'Manager - marketing services', 'Market development manager', 'Marketing director', 'Marketing executive', 'Marketing manager', 'Media advertising manager', 'Media relations director', 'Media relations manager', 'Online marketing manager', 'Promotions manager', 'Public affairs director', 'Public information director', 'Public relations director', 'Public relations manager', 'Publicity administrator', 'Publicity director', 'Publicity manager', 'Regional communications director', 'Sales agency marketing division director', 'Sales and advertising manager', 'Sales and marketing director', 'Sales and marketing manager', 'Sales and publicity manager', 'Sales director - computer marketing development', 'Sales promotion manager', 'Web communications manager', 'Web marketing manager']"
/Structure/NocProfile/2ca1fd0ce6954993b5c43a555a9a20b3?objectid=DTtrksbcbbkNaWA4%2FIjtH7oNn9zKRrlIvPTASX0El5%2F8OmzdQVfKH0KstxS8vVJV,NOC 125,Other business services managers,"Other business services managers plan, organize, direct, control and evaluate the operations of establishments that provide services to business, and ensure the quality of those services and client satisfaction. They work in fields such as management consulting, market research, personnel and payroll services, contact centre services and security services.","['Accounting firm manager', 'Accounting firm manager - business services', 'Audit firm manager', 'Auditing firm manager', 'Call centre manager', 'Conference development manager', 'Conference services manager', 'Contact centre manager', 'Customs manager - business services', 'Detective agency manager', 'Employment agency manager', 'Employment office manager', 'Energy asset joint venture manager', 'Land contracts manager', 'Legal firm manager', 'Management consulting service manager', 'Management services division head - business services', 'Market research service manager', 'Methods and procedures manager', 'Mineral land administration manager', 'Mineral land and contract manager', 'Nursing registry manager', 'Organizational methods analysis director', 'Organizational methods analysis director - business services', 'Organizational methods analysis manager', 'Organizational planning and development director', 'Organizational services head', 'Payroll service manager', 'Personnel agency manager', 'Personnel consulting service manager', 'Placement agency manager', 'Placement office manager', 'Private investigation and security service manager', 'Professional services manager - business services', 'Security service manager', 'Surface land administration manager', 'Survey research service manager', 'Well and facilities asset manager']"
/Structure/NocProfile/260dfee9fe134500884b27bc63c4b864?objectid=NuVXcSt583%2Fxppd88ZUsZou7%2BMuuS%2Fr6495CyWTFuoyIaOCYMBSqdHV7GdpCCoum,NOC 131,Telecommunication carriers managers,"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility. They are employed by wired, wireless, satellite and other telecommunications carriers.","['Co-ordinator of technical services - telecommunications', 'Dial plant manager - telecommunications', 'Dial plant superintendent - telecommunications', 'District manager - telecommunications', 'Earth station manager - telecommunications', 'Equipment chief - telecommunications', 'Installation superintendent - telecommunications', 'Microwave facilities manager - telecommunications', 'Network conduct centre assistant manager', 'Network installation manager - telecommunications', 'Network operations manager - telecommunications', 'Network services manager - telecommunications', 'Network traffic manager - telecommunications', 'Networks manager - telecommunications', 'Operations and transmission services manager - telecommunications', 'Operations manager - telecommunications', 'Production manager - telecommunications', 'Regional manager - telecommunications system', 'Space programs manager - telecommunications', 'Surveillance manager - telecommunications', 'Switching systems director - telecommunications', 'Technical services co-ordinator - telecommunications', 'Technical services manager', 'Telecommunications department manager', 'Telecommunications facilities manager', 'Telecommunications installation manager', 'Telecommunications manager', 'Telecommunications services manager', 'Telephone company district manager', 'Traffic chief - telecommunications', 'Traffic manager - cable systems', 'Traffic manager - telephone system', 'Transmission traffic manager - telecommunications']"
